Period,index
12-Jan,68.51
12-Feb,68.54
12-Mar,69.62
12-Apr,70.05
12-May,70.22
12-Jun,69.5
12-Jul,68.64
12-Aug,68.19
12-Sep,68.4
12-Oct,68.71
12-Nov,69.11
12-Dec,69.64
13-Jan,70.64
13-Feb,71.18
13-Mar,71.88
13-Apr,72.62
13-May,72.52
13-Jun,72.43
13-Jul,72.62
13-Aug,72.59
13-Sep,74.54
13-Oct,74.37
13-Nov,74.38
13-Dec,74.65
14-Jan,75.4
14-Feb,75.52
14-Mar,75.86
14-Apr,76.22
14-May,76.84
14-Jun,76.88
14-Jul,77.13
14-Aug,77.9
14-Sep,77.9
14-Oct,77.69
14-Nov,77.53
14-Dec,78.04
15-Jan,78.7
15-Feb,79.03
15-Mar,80.08
15-Apr,81.26
15-May,81.52
15-Jun,81.9
15-Jul,82.1
15-Aug,82.22
15-Sep,82.4
15-Oct,82.8
15-Nov,83.44
15-Dec,84.44
16-Jan,84.38
16-Feb,84.19
16-Mar,84.92
16-Apr,85.61
16-May,86.08
16-Jun,87.04
16-Jul,87.29
16-Aug,87.35
16-Sep,87.49
16-Oct,88.04
16-Nov,88.71
16-Dec,88.97
17-Jan,89.9
17-Feb,91.61
17-Mar,93.38
17-Apr,95.11
17-May,95.48
17-Jun,94.13
17-Jul,93.27
17-Aug,93.95
17-Sep,93.73
17-Oct,93.83
17-Nov,93.65
17-Dec,94.23
18-Jan,95.59
18-Feb,96.83
18-Mar,98.36
18-Apr,99.22
18-May,100.05
18-Jun,99.35
18-Jul,98.24
18-Aug,97.89
18-Sep,98.48
18-Oct,97.41
18-Nov,97.5
18-Dec,98.2
19-Jan,98.96
19-Feb,100
19-Mar,101.16
19-Apr,101.92
19-May,102.52
19-Jun,102.87
19-Jul,103.11
19-Aug,103.2
19-Sep,103.39
19-Oct,103.64
19-Nov,104.26
19-Dec,104.88
20-Jan,105.48
20-Feb,106.16
20-Mar,106.5
20-Apr,107.27
20-May,107.24
20-Jun,107.22
20-Jul,107.14
20-Aug,107.21
20-Sep,107.3
20-Oct,107.79
20-Nov,108.41
20-Dec,109.74
21-Jan,110.3
21-Feb,111.11
21-Mar,111.64
21-Apr,112.36
21-May,112.6
21-Jun,112.73
21-Jul,113.19
21-Aug,113.31
21-Sep,113.7
21-Oct,114
21-Nov,114.26
21-Dec,115.49
22-Jan,115.79
22-Feb,116.35
22-Mar,117.32
22-Apr,119.07
22-May,119.89
22-Jun,120.98
22-Jul,121.87
22-Aug,122.39
22-Sep,123.57
22-Oct,124.39
22-Nov,124.74
22-Dec,125.22
